filename,filename,md5,sha1,sha256,ssdeep,,,,,,,,,,,,,,,,,,,,,,,
acu.exe,C:\Windows\system32\acu.exe,5A62052F6F1D9E8B5BD1485ADD99E5A0,C9DD6471F40307D2014DF8EC5F6DDD1E1F7978A4,02C641F75E43000FD19A82BF12949C40F0E4AE4C7C8A9BBB3725B1537187AD69,384:Xy2s+fssUg+OSxhDs9W9DA+YvrQKahZNisVUmDsVltVk0dvaeT7QCbmwDV7wJ/Wk:Erw2dYsbRnlDsV7gewKrPOwR,,,,,,,,,,,,,,,,,,,,,,,
AddInProcess.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInProcess.exe,929EA1AF28AFEA2A3311FD4297425C94,2CA2E292B28CCA675DDF11EB1604208A724B59A0,F0C5491DC3851DA576F0755319669C98809D82276B3E680350CD8E3F404F78F0,384:HvfIQRb67dOwRIeKJ9Yl6dnPU3SERztmbqCJstdMardz/JikPZ+6sPZZcWemn5fy:H3IX7dQ6Iq8eM/lG9TfqWh8fwL,,,,,,,,,,,,,,,,,,,,,,,
AddInProcess32.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInProcess32.exe,9827FF3CDF4B83F9C86354606736CA9C,E73D73F42BB2A310F03EB1BCBB22BE2B8EB7C723,C1CF3DC8FA1C7FC00F88E07AD539979B3706CA8D69223CFFD1D58BC8F521F63A,384:ac3JOvwWj8Gpw0A67dOpRipKJ9Yl6dnPU3SERztmbqCJstdMardz/JikPZ+TsPZX:a4JU8g17dG6Iq8XMnVYqW2Xmh829ukc,,,,,,,,,,,,,,,,,,,,,,,
AddInUtil.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\AddInUtil.exe,11BED2C86507F7DF04BA52CFC7EB7276,00A4959609F92A1747885C2BAC941E0FE765C155,EBA869EF2A566F1AA776344717E894A863B5BBCA79807E410C651D54D7C4D96D,384:AIQu7nR3M5gJMHfOdBqYIrKJ9Yl6dnPU3SERztmbqCJstdMardz/JikPZ+QtsPZP:PRZW/Od426Iq8cMITz2jBqWzrj8qlHx,,,,,,,,,,,,,,,,,,,,,,,
AddSuggestedFoldersToLibraryDialog.exe,C:\Windows\SystemApps\Microsoft.Windows.AddSuggestedFoldersToLibraryDialog_cw5n1h2txyewy\AddSuggestedFoldersToLibraryDialog.exe,49D9889410F3E85F6E773634B4697B9C,70D5E23F4DF1947BCC2930CE238088CC9C058095,5E0E05EE5BAB5BCB5665F3A88C4A9F5ED6A4B9F9CD9CEE649A7635973A62667D,6144:k0rOT4S8/lxdx5cBRq7YfWwzTBXQ3UlrB/qSgZRBcnaxKjzqMmaE2bsZ7TVZHzay:NOTBKD2fWl9ZTcnQSRXE2wZrCXPe,,,,,,,,,,,,,,,,,,,,,,,
ADExplorer.exe,C:\SysinternalsSuite\ADExplorer.exe,5D70CF91907165A1425E4ECB4FFA03AA,BC1D7C9968EE92431F8AD9B4F8063B5B56F32AD5,BB45D8FFE245C361C04CCA44D0DF6E6BD7596CABD70070FFE0D9F519E3B620EA,12288:QJB9/HQLmTMga6JzQdrAVzDtpzO9LZvYC:QCLmwgza2VzSLZvB,,,,,,,,,,,,,,,,,,,,,,,
ADInsight.exe,C:\SysinternalsSuite\ADInsight.exe,B2E3416A5ABF9BD84FAB03989A629E7E,0642DD6A0F3666818451F1FC8A3BA5666FCC456C,032DC03FA3E7B3DF5714AEA96DDACC0DA1E4D41EF4D24DE2F2103AD03932F194,98304:bpMVnSOMfCs0753075I+nSOMfCs0753075I6:MnSFfC575E757nSFfC575E75L,,,,,,,,,,,,,,,,,,,,,,,
ADInsight64.exe,C:\SysinternalsSuite\ADInsight64.exe,2F646FCC13C2C392C4AF2F2D83A08A25,9AC5FAAE7DE79CE79CC4D8DACC078B37C7EC8874,38FF6BCB91BD6CBCEEC26BC60007C60031D9F35181FBAE851BD239F361CF38DB,24576:euUSd9wKpW9E/Cs5MfCG1PooH0oxc5lhH0oxc5l:+SXwKpW9E/BMfCG910om5lF0om5l,,,,,,,,,,,,,,,,,,,,,,,
AdmPwd.UI.exe,C:\Program Files\LAPS\AdmPwd.UI.exe,EB1F189A47442D38EF3D1F39CDE6D6D5,AFC8051AFDB3298F3131095E8B269C7EF84211E1,EBE04BA22BB944169E14A61C5D834CCD9DED9C9F7294A2EBEDC5AECD653168B9,768:4aKOme4rkssYBzw51isIPM3mIdKisIPasilVEB4S1:h4jdzwOsIPMbdsIPasQEB40,,,,,,,,,,,,,,,,,,,,,,,
Adobe AIR Application Installer.exe,C:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Adobe AIR Application Installer.exe,4B6220989B1BF38AAFC42D024401424C,D663948B0EFD8DB4FBD7BE32BACCEE48252C80DA,8B9B8D0C7234EF27ACC2B64E8EFED625B7D871D1F5AF9E22814D7FB871A6AEC2,3072:WH25hogaS00EoVEf0y4ac5KNi01x/joc1CkM7MpiigEsMkFB:+bSQZiaQMkFB,,,,,,,,,,,,,,,,,,,,,,,
Adobe AIR Updater.exe,C:\Program Files (x86)\Common Files\Adobe AIR\Versions\1.0\Resources\Adobe AIR Updater.exe,3FC2ACF44BF60283576DE2B82085823B,7AA1B4297ED5B5F621F65C0DF36796B94CE587AE,464B8B8BEF77C400C1CEA43CFC6577382CC04F3DB1CB45C056FE0A4A6101359E,6144:3jIYORi5Z8ZAbAAsAAAgAxAAAAAAAAUAAbAALxAAAAAAACAAAAAxAAusFPfJ+fO:TIf/AbAAsAAAgAxAAAAAAAAUAAbAALxm,,,,,,,,,,,,,,,,,,,,,,,
AdobeARM.exe,C:\ProgramData\Adobe\ARM\Acrobat_10.1.12\23913\AdobeARM.exe,07A37CB5C5A01E73FB69F138FAE2DB0E,163ECF59988DAAFB98463C9CA847CF98B59785B7,9E8B5D78D7EAB8FA35133763EDA91AFE5CDEE275D604F02CDB56FB00A0D5AA0F,12288:pdzFuqW7mmusNTu9An4SrnDPgM7yCNtON0eFd:pdzFuqUmS8SfyCN4+eFd,,,,,,,,,,,,,,,,,,,,,,,
AdobeARMHelper.exe,C:\ProgramData\Adobe\ARM\Acrobat_10.1.12\23913\AdobeARMHelper.exe,516C021FEBEDE2962C9252DF85606C76,51DD06417BEA68E126E5F4ABB7E691189B2ADEE9,0ED27C1C59E4AC96B704F423AB836589EFFAEC2B4615F534EEFFF104893ADC36,6144:QsYQXsnUVx4ZXvQShdrXvbGLcqBG65tufv1Qp9At+a4juR1y9HkT:QjndvQSrrXvbGIqBGr1d+a9T,,,,,,,,,,,,,,,,,,,,,,,
